data;data_vencimento;valor;tipo;categoria;descricao;cliente_fornecedor;status;empresa
2026-01-05;2026-01-20;25000.00;receita;locacao;Locação de empilhadeira;VANNUCCI IMPORTADORA;pago;PR TRUCKS
2026-01-08;2026-01-15;12500.00;receita;locacao;Locação de plataforma;TRUCKS CONTROL;pago;PR TRUCKS
2026-01-10;2026-01-25;8500.00;despesa;folha;Folha de pagamento - Janeiro;FOLHA PAGAMENTO;pago;PR TRUCKS
2026-01-12;2026-01-30;18000.00;receita;venda;Venda de peças;VLP TRANSPORTES;pendente;SIDER TRUCKS
2026-01-15;2026-01-20;3500.00;despesa;combustivel;Abastecimento frota;POSTO COMBUSTIVEL;pago;PR TRUCKS
2026-01-18;2026-02-05;35000.00;receita;locacao;Locação de caminhão;CARBONI DISTRIBUIDORA;pendente;PR TRUCKS
2026-01-20;2026-01-25;15000.00;despesa;fornecedores;Compra de peças;FORNECEDOR PECAS;pago;SIDER TRUCKS
2026-01-22;2026-02-10;42000.00;receita;servicos;Manutenção preventiva;ROBSON MACAGNANI;pendente;PR TRUCKS SERVICOS
2026-01-25;2026-01-30;6500.00;despesa;manutencao;Manutenção de veículos;MANUTENCAO VEICULOS;pago;PR TRUCKS
2026-01-28;2026-02-15;28000.00;receita;locacao;Locação de gerador;MASA DISTRIBUIDORA;pendente;PR TRUCKS
2026-02-01;2026-02-10;9000.00;despesa;aluguel;Aluguel sede;ALUGUEL SEDE;pago;PR TRUCKS
2026-02-03;2026-02-20;31000.00;receita;locacao;Locação de compressor;RG COMERCIO DE PECAS;pago;SIDER TRUCKS
2026-02-05;2026-02-25;22000.00;receita;venda;Venda de equipamentos;CUNHADOS DISTRIBUIDORA;pendente;PR TRUCKS
2026-02-08;2026-02-15;4200.00;despesa;impostos;ICMS/PIS/COFINS;IMPOSTOS FEDERAIS;pago;PR TRUCKS
2026-02-10;2026-02-28;38000.00;receita;locacao;Locação mensal;CARRETAO CURITIBA;pago;PR TRUCKS
2026-02-12;2026-02-20;8500.00;despesa;folha;Folha de pagamento - Fevereiro;FOLHA PAGAMENTO;pago;PR TRUCKS
2026-02-15;2026-03-01;45000.00;receita;servicos;Serviço de instalação;BIANCO COMERCIO;pendente;PR TRUCKS SERVICOS
2026-02-18;2026-02-25;2800.00;despesa;combustivel;Abastecimento frota;POSTO COMBUSTIVEL;pago;SIDER TRUCKS
2026-02-20;2026-03-05;19500.00;receita;locacao;Locação de equipamento;PNEUTEK COMERCIO;pendente;PR TRUCKS
2026-02-22;2026-03-10;52000.00;receita;locacao;Contrato anual locação;FORTPEL COMERCIO;pendente;PR TRUCKS
2026-02-25;2026-03-01;12000.00;despesa;fornecedores;Material de reposição;FORNECEDOR PECAS;pago;PR TRUCKS
2026-02-28;2026-03-15;27000.00;receita;venda;Venda de peças;VANNUCCI IMPORTADORA;pendente;SIDER TRUCKS
2026-03-01;2026-03-15;5500.00;despesa;manutencao;Revisão de frota;MANUTENCAO VEICULOS;pendente;PR TRUCKS
2026-03-05;2026-03-20;33000.00;receita;locacao;Locação de empilhadeira;TRUCKS CONTROL;pendente;PR TRUCKS
2026-03-08;2026-03-10;9500.00;despesa;aluguel;Aluguel sede;ALUGUEL SEDE;pago;PR TRUCKS
2026-03-10;2026-03-25;48000.00;receita;servicos;Manutenção corretiva;VLP TRANSPORTES;pendente;PR TRUCKS SERVICOS
2026-03-12;2026-03-20;8500.00;despesa;folha;Folha de pagamento - Março;FOLHA PAGAMENTO;pendente;PR TRUCKS
2026-03-15;2026-03-30;21000.00;receita;locacao;Locação de plataforma;CARBONI DISTRIBUIDORA;pendente;SIDER TRUCKS
2026-03-18;2026-03-25;3800.00;despesa;combustivel;Abastecimento frota;POSTO COMBUSTIVEL;pendente;PR TRUCKS
2026-03-20;2026-04-05;56000.00;receita;locacao;Contrato trimestral;ROBSON MACAGNANI;pendente;PR TRUCKS
